Item,Detail,weight,Status
Big 3,,2lbs 5.8oz,
Pack,,37.8,Need
Tent,,,MH
Tent stakes,,,MH
Guy Lines,,,MH
Sleeping bag,,,MH
Sleeping pad,,,MH
,,,
Clothing Packed,,1lbs 2oz,
Insulated,Eddie bower vest,12.3,Have
Rain,frogg,5.7,Have
Base Layer Top,,,Need
Base Layer Bottom,,,Need
Warm Cap,,,Need
xtra Socks,,,Need
xtra Underwear,,,Need
,,,
Cooking & Hydration,,0lbs 12.7oz,
Stove,,,MH
Pot,gsi Halulite Minimalist,6,Have
Spoon,snow peak titanium ,0.5,Have
Pot Scrubber,Cut sponge,0.1,Have
Water Bottle,1L Smart water bottle,1.4,Have
Water Filter,sawyer squeeze,4.5,Have
Backup Water Purification,tablets,0.2,Have
Bear can/bag,loksak,,Need
,,,
Misc,,0lbs 3.9oz,
Knife,,,MH
Maps,7.5s & Overview,,Need
Compass,Compass,,MH
Light,Petzl - ZIPKA,,On Order
Spare battery,3XAAA,1.2,Have
Lighter,Bic mini X2,,Need
Signal Mirror,Signal Mirror,,On Order
Whistle,Whistle,,On Order
First Aid,med kit .3,2.7,Have
Toothbrush,,,Need
bandana,,1.2,Have
WAG bags,,,Need
Gallon Ziplocks,,,Need
,,,
Total:,,4lbs 8.4oz,
